Nama,Harga,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Jumlah Carport,Luas Tanah,Luas Bangunan
"Rumah di Daerah Mugas , Semarang ( Ls 8466 )","Rp 1,75 Miliar","Semarang Selatan, Semarang",3,2,1,LT : 135 m²,LB : 135 m²
"Rumah di Jalan Tentara Pelajar, Semarang Si 4918",Rp 12 Miliar,"Semarang Selatan, Semarang",2,1,0,LT : 385 m²,LB : 650 m²
"Rumah di Daerah Peterongan , Semarang ( Wn 8440 )","Rp 2,75 Miliar","Semarang Selatan, Semarang",4,1,1,LT : 247 m²,LB : 220 m²
"Rumah di The Miles Bsb City , Semarang ( Me 7905 )","Rp 2,1 Miliar","BSB City, Semarang",2,1,1,LT : 182 m²,LB : 66 m²
"Rumah di Forest Hill Citraland Bsb Mijen , Semarang Si 5832","Rp 1,6 Miliar","BSB City, Semarang",3,1,1,LT : 179 m²,LB : 130 m²
"Rumah di Daerah Karang Wulan , Semarang ( Tt Si Vn 8352 )",Rp 3 Miliar,"Semarang Tengah, Semarang",2,1,0,LT : 299 m²,LB : 209 m²
Rumah Citragrand Murah Nego Poll View Cantik,"Rp 4,95 Miliar","Citragrand, Semarang",4,3,2,LT : 300 m²,LB : 310 m²
Rumah 2Lt Murah Graha Padma Dekat Karangturi Furnish,"Rp 1,95 Miliar","Graha Padma, Semarang",4,4,1,LT : 96 m²,LB : 98 m²
Rumah Murah Hitung Tanah Ditengah Kota Semarang Utara,"Rp 1,1 Miliar","Semarang Utara, Semarang",3,2,1,LT : 277 m²,LB : 200 m²
"Rumah, SHM, di Bsb City, Murah,Siaphuni",Rp 850 Juta,"BSB City, Semarang",1,1,2,LT : 120 m²,LB : 40 m²
"Rumah di Victoria Higland , Citraland Bsb City , Semarang ( Vn 8626 )","Rp 1,4 Miliar","BSB City, Semarang",2,1,2,LT : 120 m²,LB : 48 m²
Rumah Mewah Furnish di Pleburan Raya Dekat Undip,"Rp 7,5 Miliar","Semarang Tengah, Semarang",4,3,2,LT : 349 m²,LB : 320 m²
Rumah Siap Huni Semarang - DP 0% Free All In,Rp 585 Juta,"Semarang Selatan, Semarang",2,2,1,LT : 86 m²,LB : 69 m²
